Date,Year,Month,Day,Open,High,Low,Close
12/22/00,2000,12,Friday,10495.26,10772.07,10364.09,10635.56
12/21/00,2000,12,Thursday,10314.38,10651.96,10158.15,10487.29
12/20/00,2000,12,Wednesday,10580.97,10604.08,10197.59,10318.93
12/19/00,2000,12,Tuesday,10643.14,10865.35,10441.41,10584.37
12/18/00,2000,12,Monday,10433.34,10783.82,10417.43,10645.42
12/15/00,2000,12,Friday,10647.98,10706.84,10324.24,10434.96
12/14/00,2000,12,Thursday,10794.82,10864.49,10508.53,10674.99
12/13/00,2000,12,Wednesday,10777.95,11002.23,10653.76,10794.44
12/12/00,2000,12,Tuesday,10722.77,10968.77,10582.09,10768.27
12/11/00,2000,12,Monday,10719.36,10931.33,10521.04,10725.8
12/8/00,2000,12,Friday,10632.14,10896.82,10534.69,10712.91
12/7/00,2000,12,Thursday,10644.66,10791.4,10448.99,10617.36
12/6/00,2000,12,Wednesday,10896.14,10995.41,10513.84,10664.38
12/5/00,2000,12,Tuesday,10576.78,11044.7,10504.36,10898.72
12/4/00,2000,12,Monday,10377.33,10695.28,10227.17,10560.1
12/1/00,2000,12,Friday,10416.76,10645.42,10238.54,10373.54
11/30/00,2000,11,Thursday,10610.53,10690.16,10204.8,10414.49
11/29/00,2000,11,Wednesday,10502.74,10746.66,10383.02,10629.11
11/28/00,2000,11,Tuesday,10537.86,10730.35,10356.47,10507.58
11/27/00,2000,11,Monday,10479.33,10758.04,10411.08,10546.07
11/24/00,2000,11,Friday,10403.87,10596.5,10354.2,10470.23
11/22/00,2000,11,Wednesday,10484.26,10589.67,10251.06,10399.32
11/21/00,2000,11,Tuesday,10465.57,10676.13,10303.39,10494.5
11/20/00,2000,11,Monday,10624.18,10707.22,10331.45,10462.65
11/17/00,2000,11,Friday,10657.13,10824.77,10462.55,10629.87
11/16/00,2000,11,Thursday,10705.33,10757.66,10639.35,10656.03
11/15/00,2000,11,Wednesday,10681.21,10863.83,10544.17,10707.6
11/14/00,2000,11,Tuesday,10528.25,10809.61,10484.64,10681.06
11/13/00,2000,11,Monday,10595.35,10701.54,10273.24,10517.25
11/10/00,2000,11,Friday,10813.78,10886.2,10497.53,10602.95
11/9/00,2000,11,Thursday,10902.11,10989.34,10576.4,10834.25
11/8/00,2000,11,Wednesday,10954.34,11152.02,10779.27,10907.06
11/7/00,2000,11,Tuesday,10978.72,11105.75,10825.15,10952.18
11/6/00,2000,11,Monday,10820.6,11092.1,10741.73,10977.21
11/3/00,2000,11,Friday,10883.17,10996.17,10650.72,10817.95
11/2/00,2000,11,Thursday,10903.17,11071.06,10731.49,10880.51
11/1/00,2000,11,Wednesday,10966.21,11103.1,10736.42,10899.47
10/31/00,2000,10,Tuesday,10835.39,11108.79,10681.06,10971.14
10/30/00,2000,10,Monday,10588.06,10944.98,10506.25,10835.77
10/27/00,2000,10,Friday,10381.6,10696.43,10296.7,10590.62
10/26/00,2000,10,Thursday,10330.18,10563.25,10128.18,10380.12
10/25/00,2000,10,Wednesday,10395.66,10563.99,10170.08,10326.48
10/24/00,2000,10,Tuesday,10273.57,10583.96,10136.69,10393.07
10/23/00,2000,10,Monday,10230.29,10496.28,10078.24,10271.72
10/20/00,2000,10,Friday,10141.13,10406.76,9925.82,10226.59
10/19/00,2000,10,Thursday,10014.61,10317.23,9901.77,10142.98
10/18/00,2000,10,Wednesday,10085.99,10171.47,9571.4,9975.02
10/17/00,2000,10,Tuesday,10242.87,10402.32,9924.34,10089.71
10/16/00,2000,10,Monday,10184.78,10428.95,10033.84,10238.8
10/13/00,2000,10,Friday,10031.62,10325.37,9883.27,10192.18
10/12/00,2000,10,Thursday,10424.14,10462.25,9873.66,10034.58
10/11/00,2000,10,Wednesday,10521.07,10647.23,10228.44,10413.79
10/10/00,2000,10,Tuesday,10569.17,10744.52,10377.16,10524.4
10/9/00,2000,10,Monday,10596.91,10762.1,10438.94,10568.43
10/6/00,2000,10,Friday,10726.76,10871.42,10440.05,10596.54
10/5/00,2000,10,Thursday,10783.72,10940.23,10570.28,10724.92
10/4/00,2000,10,Wednesday,10723.33,10972.41,10596.54,10784.48
10/3/00,2000,10,Tuesday,10709.84,10976.11,10561.03,10719.74
10/2/00,2000,10,Monday,10659.06,10876.23,10479.27,10700.13
9/29/00,2000,9,Friday,10821.4,10923.21,10552.15,10650.92
9/28/00,2000,9,Thursday,10629.84,10948,10539.48,10824.06
9/27/00,2000,9,Wednesday,10634.45,10821.1,10439.31,10628.36
9/26/00,2000,9,Tuesday,10806.3,10915.44,10499.61,10631.32
9/25/00,2000,9,Monday,10847.37,11039.47,10664.24,10808.15
9/22/00,2000,9,Friday,10678.3,10936.53,10505.16,10847.37
9/21/00,2000,9,Thursday,10680.52,10902.12,10548.08,10765.52
9/20/00,2000,9,Wednesday,10794.47,10906.93,10500.35,10687.92
9/19/00,2000,9,Tuesday,10812.22,10960.94,10645.38,10789.29
9/18/00,2000,9,Monday,10926.42,11053.8,10693.84,10808.52
9/15/00,2000,9,Friday,11087.84,11203.26,10857.73,10927.06
9/14/00,2000,9,Thursday,11189.58,11285.39,10986.47,11087.47
9/13/00,2000,9,Wednesday,11225.03,11350.87,11020.14,11182.18
9/12/00,2000,9,Tuesday,11197.71,11351.98,11015.7,11233.23
9/11/00,2000,9,Monday,11219.54,11367.15,11043.07,11195.49
9/8/00,2000,9,Friday,11261.72,11381.95,11059.72,11220.65
9/7/00,2000,9,Thursday,11316.01,11444.84,11124.83,11259.87
9/6/00,2000,9,Wednesday,11253.58,11518.83,11186.25,11310.64
9/5/00,2000,9,Tuesday,11221.76,11382.69,11094.5,11260.61
9/1/00,2000,9,Friday,11219.54,11406.74,11130.01,11238.78
8/31/00,2000,8,Thursday,11105.23,11415.99,11040.85,11215.1
8/30/00,2000,8,Wednesday,11209.01,11282.06,11034.57,11103.01
8/29/00,2000,8,Tuesday,11249.27,11356.42,11100.79,11215.1
8/28/00,2000,8,Monday,11194.48,11410.44,11123.35,11252.84
8/25/00,2000,8,Friday,11180.54,11301.41,11073.59,11192.63
8/24/00,2000,8,Thursday,11143.91,11253.06,10990.44,11182.74
8/23/00,2000,8,Wednesday,11130.55,11253.06,10990.44,11144.65
8/22/00,2000,8,Tuesday,11082.2,11274.67,11000.33,11139.15
8/21/00,2000,8,Monday,11058.85,11193.73,10945.39,11079.81
8/18/00,2000,8,Friday,11051.2,11180.54,10933.3,11046.48
8/17/00,2000,8,Thursday,11010.95,11180.91,10899.24,11055.64
8/16/00,2000,8,Wednesday,11068.83,11171.02,10888.62,11008.39
8/15/00,2000,8,Tuesday,11175.05,11227.06,10965.54,11067
8/14/00,2000,8,Monday,11027.07,11232.92,10928.91,11176.14
8/11/00,2000,8,Friday,10905.98,11131.83,10841.37,11027.8
8/10/00,2000,8,Thursday,10901.06,11069.93,10779.47,10908.76
8/9/00,2000,8,Wednesday,10970.94,11097.03,10780.02,10905.83
8/8/00,2000,8,Tuesday,10865.15,11083.11,10741.38,10976.89
8/7/00,2000,8,Monday,10773.98,10973.23,10657.5,10867.01
8/4/00,2000,8,Friday,10713.36,10873.97,10555.68,10767.75
8/3/00,2000,8,Thursday,10679.37,10844.3,10518.68,10706.58
8/2/00,2000,8,Wednesday,10609.15,10818.66,10514.29,10687.53
8/1/00,2000,8,Tuesday,10523.81,10728.92,10428.58,10606.95
7/31/00,2000,7,Monday,10514.29,10727.09,10374,10521.98
7/28/00,2000,7,Friday,10594.97,10732.14,10367.28,10511.17
7/27/00,2000,7,Thursday,10516.83,10745.93,10450.01,10586.13
7/26/00,2000,7,Wednesday,10689.36,10790.13,10447.18,10516.48
7/25/00,2000,7,Tuesday,10689.28,10867.2,10557.49,10699.97
7/24/00,2000,7,Monday,10731.44,10895.84,10545.47,10682.12
7/21/00,2000,7,Friday,10843.51,10949.58,10614.06,10733.56
7/20/00,2000,7,Thursday,10700.68,10980.34,10671.33,10843.87
7/19/00,2000,7,Wednesday,10724.15,10907.15,10587.89,10696.08
7/18/00,2000,7,Tuesday,10799.16,10895.57,10613,10739.92
7/17/00,2000,7,Monday,10812.4,10969.38,10653.3,10804.27
7/14/00,2000,7,Friday,10793.31,10935.44,10661.43,10812.75
7/13/00,2000,7,Thursday,10774.92,10963.02,10643.4,10788.71
7/12/00,2000,7,Wednesday,10722.24,10930.84,10639.51,10783.76
7/11/00,2000,7,Tuesday,10649.06,10807.45,10626.79,10727.19
7/10/00,2000,7,Monday,10627.14,10792.25,10520.01,10646.58
7/7/00,2000,7,Friday,10483.33,10742.04,10419.25,10635.98
7/6/00,2000,7,Thursday,10481.45,10644.11,10303.28,10481.47
7/5/00,2000,7,Wednesday,10538.23,10674.16,10362.33,10483.6
7/3/00,2000,7,Monday,10450.36,10610.17,10353.66,10560.67
6/30/00,2000,6,Friday,10393.09,10628.2,10161.51,10447.89
6/29/00,2000,6,Thursday,10523.9,10582.94,10278.98,10398.04
6/28/00,2000,6,Wednesday,10506.39,10712.7,10399.1,10527.79
6/27/00,2000,6,Tuesday,10541.58,10741.69,10383.89,10504.46
6/26/00,2000,6,Monday,10403.69,10680.26,10365.16,10542.99
6/23/00,2000,6,Friday,10376.47,10555.37,10283.13,10404.75
6/22/00,2000,6,Thursday,10495.97,10596.73,10256.97,10376.12
6/21/00,2000,6,Wednesday,10446.83,10607.69,10312.48,10497.74
6/20/00,2000,6,Tuesday,10558.9,10632.09,10318.84,10435.16
6/19/00,2000,6,Monday,10448.4,10733.56,10322.02,10557.84
6/16/00,2000,6,Friday,10717.76,10784.47,10391.32,10449.3
6/15/00,2000,6,Thursday,10689.63,10889.48,10552.89,10714.82
6/14/00,2000,6,Wednesday,10632.46,10860.84,10542.99,10687.95
6/13/00,2000,6,Tuesday,10562.31,10751.86,10395.56,10621.84
6/12/00,2000,6,Monday,10615.12,10757.6,10476.88,10564.21
6/9/00,2000,6,Friday,10678.47,10848.38,10515.52,10614.06
6/8/00,2000,6,Thursday,10818.78,10951.09,10524.92,10668.72
6/7/00,2000,6,Wednesday,10733.48,10976.51,10592.12,10812.86
6/6/00,2000,6,Tuesday,10822.61,10916.97,10592.12,10735.57
6/5/00,2000,6,Monday,10793.11,10951.78,10629.03,10815.3
