YEAR,SAMPLE,SERIAL,CBSERIAL,NUMPREC,HHWT,HHTYPE,CLUSTER,CPI99,STATEFIP,COUNTYFIP,PUMA,STRATA,GQ,OWNERSHP,OWNERSHPD,RENT,COSTELEC,COSTGAS,HHINCOME,VALUEH,ROOMS,BUILTYR2,UNITSSTR,BEDROOMS,FUELHEAT,VEHICLES,PERNUM,PERWT,NCHILD,RELATE,RELATED,SEX,AGE,MARST,RACE,RACED,HISPAN,HISPAND,BPL,BPLD,CITIZEN,YRIMMIG,EDUC,EDUCD,DEGFIELD,DEGFIELDD,EMPSTAT,EMPSTATD,LABFORCE,OCC1990,CLASSWKR,CLASSWKRD,WKSWORK2,UHRSWORK,INCBUS00,INCEARN,SEI,MOVEDIN,QBPL,QINCWAGE
2017,201701,232661,2017000949139,1,74,6,2017002326611,0.679,8,0,805,80508,1,1,13,0,1200,600,87000,247000,6,6,3,4,4,1,1,74,0,1,101,2,46,6,8,812,0,0,29,2900,0,0,3,30,0,0,1,10,2,458,1,14,6,40,26000,87000,17,5,4,0
2017,201701,924475,2017000701140,4,92,1,2017009244751,0.679,37,0,4100,410037,1,1,13,0,3600,9993,49800,375000,8,10,3,4,4,3,4,115,0,3,301,1,14,6,1,100,0,0,37,3700,0,0,2,26,0,0,0,0,0,999,0,0,0,0,999999,0,0,0,0,0
2017,201701,1066412,2017000629225,1,165,4,2017010664121,0.679,42,17,3001,300142,1,2,22,950,1200,9993,41200,9999999,4,4,8,2,4,1,1,165,0,1,101,1,64,4,1,100,0,0,42,4200,0,0,7,71,0,0,3,30,1,999,0,0,0,0,0,0,0,3,0,0
2017,201701,44508,2017001024126,1,185,6,2017000445081,0.679,4,13,130,13004,1,1,13,0,2520,120,86000,150000,5,4,3,4,2,1,1,184,0,1,101,2,66,5,3,306,0,0,4,400,0,0,11,114,62,6203,1,10,2,154,2,28,5,40,0,66000,84,3,0,0
2017,201701,161247,2017000965450,4,183,1,2017001612471,0.679,6,81,8103,810306,1,2,22,2800,600,9993,665000,9999999,4,5,8,3,4,2,4,225,0,3,301,1,5,6,4,400,0,0,6,600,0,0,1,11,0,0,0,0,0,999,0,0,0,0,999999,0,0,0,0,0
2017,201701,30354,2017000279044,2,96,9,2017000303541,0.679,4,19,208,20804,1,2,22,750,960,360,12100,9999999,3,1,3,3,4,1,1,97,0,1,101,1,38,6,1,100,0,0,11,1100,0,0,11,114,34,3401,1,10,2,25,1,13,6,70,10000,10000,73,1,0,0
2017,201701,1295699,2017000340733,1,158,4,2017012956991,0.679,51,0,51020,5102051,1,1,13,0,2520,9993,36000,299000,5,9,3,5,4,1,1,158,0,1,101,1,51,4,1,100,0,0,51,5100,0,0,8,81,0,0,1,10,2,534,1,14,6,30,0,36000,27,5,0,0
2017,201701,184912,2017001212165,5,152,3,2017001849121,0.679,6,77,7702,770206,1,1,12,0,1440,9992,58000,150000,5,5,3,4,2,4,3,223,0,10,1001,1,36,6,7,700,1,100,200,20000,3,2000,6,63,0,0,1,10,2,479,2,22,6,40,0,30000,6,0,0,0
2017,201701,779957,2017000287899,2,43,3,2017007799571,0.679,34,21,2302,230234,1,1,13,0,1800,1440,73000,600000,8,6,3,5,2,2,2,59,0,3,301,1,29,6,1,100,0,0,24,2400,0,0,7,71,0,0,3,30,1,275,2,22,2,20,0,2000,47,0,0,4
2017,201701,605521,2017000328633,4,68,3,2017006055211,0.679,25,0,1902,190225,1,1,13,0,1320,360,31000,200000,8,3,3,4,2,2,3,100,0,3,301,1,6,6,1,100,0,0,25,2500,0,0,1,12,0,0,0,0,0,999,0,0,0,0,999999,0,0,0,0,0
